% Coordinates of events in WikiLeaks Afghan War Diary
% Longitude, Latitude, Day number (starting from 1st January 2004)

70.92,35.019,1
64.2,31.116,1
69.363,32.645,1
69.814,33.236,1
69.322,34.554,2
69.322,34.554,2
69.957,33.338,2
65.742,31.627,3
70.085,33.408,4
69.265,32.9,4
64.011,33.426,4
65.75,31,4
69.089,32.792,6
69.255,34.924,6
66.4,31,6
67.417,32.733,6
69.388,33.378,6
66.9,32.1,6
69.195,32.538,7
69.03,33.437,8
69.03,33.437,8
70.948,34.949,8
70.333,34.217,8
65.736,31.631,8
69.972,33.291,9
65.683,31.647,9
66.4,31,10
69.956,33.338,10
69.366,33.693,10
69.953,33.392,10
70.841,35.208,10
66.933,32.076,10
65.133,32.033,10
69.084,33.547,10
69.487,33.76,11
65.736,31.623,11
69.973,33.312,11
64.35,31.833,11
62.119,32.378,11
69.247,33.573,12
68.313,33.546,12
69.971,33.368,12
69.956,33.338,12
68.29,33.559,12
68.775,33.151,12
69.379,33.388,13
65.567,32.133,13
65.739,31.626,13
69.383,33.393,13
69.376,33.355,13
67.417,32.517,13
65.849,31.502,13
69.559,33.506,14
66.289,30.996,14
69.503,33.784,14
69.352,33.371,14
68.428,33.382,15
68.033,33.2,15
70.011,33.273,15
65.717,31.617,15
69.382,33.323,15
69.25,33.572,15
69.958,33.336,16
69.883,33.259,16
70.916,35.017,16
69.438,34.799,16
65.84,31.49,16
68.321,33.842,16
68.304,33.807,16
65.483,31.967,17
66.9,32.1,17
69.267,32.905,17
69.312,34.544,17
69.456,33.32,18
69.372,33.342,18
70.247,33.284,18
65.582,32.035,18
68.282,33.701,18
66.417,30.95,18
69.348,33.396,18
65.503,32.634,18
68.266,33.459,18
69.993,33.261,19
70.005,33.25,19
68.973,35.347,19
69.487,33.766,19
66.289,30.996,19
66.4,31,19
69.978,33.373,19
69.487,33.766,20
68.309,33.426,20
69.042,33.436,20
69.991,33.461,21
66.779,32.374,22
69.322,34.554,22
64.011,33.426,22
68.141,33.487,22
65.483,31.967,23
69.025,33.441,23
69.121,32.671,23
66.9,32.1,23
70.739,35.319,23
70.201,34.338,23
68.141,33.487,24
66.812,32.078,24
61.852,34.158,24
67.233,32.067,24
66.779,32.374,24
66.35,31.833,25
71.122,34.829,25
69.218,33.597,25
69.242,34.561,25
65.846,31.507,25
67.417,32.517,26
69.144,32.675,26
71.126,34.794,26
69.447,32.897,26
69.344,34.99,26
71.124,34.792,26
66.913,32.102,26
69.195,32.538,26
69.651,34.852,27
69.45,32.907,27
66.4,31,27
67.033,32.55,27
66.913,32.101,28
70.051,33.249,28
69.145,32.676,28
69.156,32.934,28
65.711,31.619,28
66.929,31.328,29
66.5,31.567,30
68.24,33.517,30
71.151,34.866,30
69.257,34.984,30
70.909,34.986,31
69.951,33.359,31
71.134,34.86,32
64.011,33.426,32
66.2,30.167,32
69.938,33.123,34
71.12,34.85,35
65.483,31.967,35
65.05,31.567,36
65.684,31.647,37
66.336,30.981,37
68.37,33.564,37
69.399,33.37,37
65.502,32.632,37
71.122,34.857,39
69.323,33.378,39
66.993,32.199,39
69.134,34.181,39
66.4,32.4,39
69.672,33.591,39
69.319,33.38,39
67.417,32.517,40
65.661,31.604,40
65.683,31.647,40
66.5,31.567,40
65.683,31.647,40
66.879,32.173,41
70.215,33.341,41
65.717,32.283,41
69.231,34.877,41
67.333,31.633,41
69.7,33.153,42
66.2,30.167,42
71.137,34.853,42
64.518,31.809,42
69.699,33.178,42
66.9,32.1,43
66.4,31,43
69.193,33.578,43
70.014,33.276,44
66.2,30.167,44
70.019,33.274,44
65.483,31.967,44
68.363,33.572,44
65,31,45
65,31,45
67.417,32.517,45
65.689,31.627,46
71.452,35.169,46
69.958,33.338,46
